"","Name","Rank","Year","Type","Duration","Genre","Rating","MetaScore","Desc","Director_Stars","Votes","Gross"
"48","Breathless",48,"-1960","X","90 min","Crime, Drama",7.7,NA,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.","Director:
Jean-Luc Godard
                 | 
    Stars:
Jean-Paul Belmondo, 
Jean Seberg, 
Van Doude, 
Jean-Luc Godard","",""
"49","The Chorus",49,"-2004","12A","97 min","Comedy, Drama, Music",7.8,56,"The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.","Director:
Christophe Barratier
                 | 
    Stars:
Gérard Jugnot, 
François Berléand, 
Jean-Baptiste Maunier, 
Kad Merad","",""
"50","The Discreet Charm of the Bourgeoisie",50,"-1972","AA","102 min","Comedy",7.8,93,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.","Director:
Luis Buñuel
                 | 
    Stars:
Fernando Rey, 
Delphine Seyrig, 
Paul Frankeur, 
Bulle Ogier","",""
"51","C.R.A.Z.Y.",51,"-2005","15","129 min","Comedy, Drama",7.9,81,"A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values.","Director:
Jean-Marc Vallée
                 | 
    Stars:
Michel Côté, 
Marc-André Grondin, 
Danielle Proulx, 
Émile Vallée","",""
"52","Hiroshima Mon Amour",52,"-1959","X","90 min","Drama, Romance",7.9,NA,"A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.","Director:
Alain Resnais
                 | 
    Stars:
Emmanuelle Riva, 
Eiji Okada, 
Stella Dassas, 
Pierre Barbaud","",""
"53","La Belle et la Bête",53,"-1946","A","96 min","Drama, Fantasy, Romance",7.9,92,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.","Directors:
Jean Cocteau, 
René Clément
                 | 
    Stars:
Jean Marais, 
Josette Day, 
Mila Parély, 
Nane Germon","",""
"54","That Obscure Object of Desire",54,"-1977","X","103 min","Comedy, Drama, Romance",7.8,84,"Recounted in flashback are the romantic perils of Mathieu, a middle-aged French sophisticate as he falls for his nineteen-year-old former chambermaid Conchita.","Director:
Luis Buñuel
                 | 
    Stars:
Fernando Rey, 
Carole Bouquet, 
Ángela Molina, 
Julien Bertheau","",""
"55","Playtime",55,"-1967","U","155 min","Comedy",7.8,99,"Monsieur Hulot curiously wanders around a high-tech Paris, paralleling a trip with a group of American tourists. Meanwhile, a nightclub/restaurant prepares its opening night, but it's still under construction.","Director:
Jacques Tati
                 | 
    Stars:
Jacques Tati, 
Barbara Dennek, 
Rita Maiden, 
France Rumilly","",""
"56","Ernest & Celestine",56,"-2012","U","80 min","Animation, Adventure, Comedy",7.8,86,"The story of an unlikely friendship between a bear, Ernest, and a young mouse named Celestine.","Directors:
Stéphane Aubier, 
Vincent Patar, 
Benjamin Renner
                 | 
    Stars:
Lambert Wilson, 
Pauline Brunner, 
Anne-Marie Loop, 
Patrice Melennec","",""
"57","Au hasard Balthazar",57,"-1966","PG","95 min","Drama",7.8,98,"The story of a mistreated donkey and the people around him. A study on saintliness and a sister piece to Bresson's Mouchette.","Director:
Robert Bresson
                 | 
    Stars:
Anne Wiazemsky, 
Walter Green, 
François Lafarge, 
Jean-Claude Guilbert","",""
